epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,62.6058,1.19948,2.06556,1.81246,1.43633,0.38688,0.07407,0.02367,0.00787,0.36011,0.03704,0.00519,0.00157,2.77674,7.09948,3.63376,3.33551,0.0005512,0.0005512,0.0005512
70,63.4764,1.36948,2.10927,2.14239,1.67075,0.41171,0.07407,0.02838,0.00729,0.37187,0.03704,0.00622,0.00093,2.69388,6.87078,3.82208,3.41275,0.0005446,0.0005446,0.0005446
71,64.3624,1.53266,2.25403,2.27479,1.70903,0.41171,0.07407,0.02838,0.00729,0.37187,0.03704,0.00622,0.00093,2.69388,6.87078,3.82208,3.41275,0.000538,0.000538,0.000538
72,65.2122,1.10286,2.34236,1.58361,1.35645,0.40141,0.03704,0.01985,0.00597,0.38318,0.03704,0.00889,0.00122,2.80604,6.86319,3.9889,3.43111,0.0005314,0.0005314,0.0005314
73,66.1804,1.387,2.38262,1.87772,1.68875,0.40141,0.03704,0.01985,0.00597,0.38318,0.03704,0.00889,0.00122,2.80604,6.86319,3.9889,3.43111,0.0005248,0.0005248,0.0005248
74,67.2672,0.92437,1.95812,1.68184,1.2794,0.48339,0.07407,0.04484,0.00984,0.38246,0.03704,0.00922,0.00127,2.75326,6.84113,4.09978,3.30686,0.0005182,0.0005182,0.0005182
75,68.0885,0.99516,1.95938,1.79208,1.40179,0.48339,0.07407,0.04484,0.00984,0.38246,0.03704,0.00922,0.00127,2.75326,6.84113,4.09978,3.30686,0.0005116,0.0005116,0.0005116
76,69.0353,0.99144,2.02551,1.74803,1.24861,0.50911,0.11111,0.07225,0.01724,0.44979,0.07407,0.037,0.00489,2.60712,6.62673,3.85059,3.13503,0.000505,0.000505,0.000505
77,69.8366,1.25734,2.2989,1.93683,1.49836,0.50911,0.11111,0.07225,0.01724,0.44979,0.07407,0.037,0.00489,2.60712,6.62673,3.85059,3.13503,0.0004984,0.0004984,0.0004984
78,70.7553,1.29301,2.38854,1.87372,1.60299,0.52701,0.10409,0.0735,0.01782,0.48444,0.07407,0.04035,0.00628,2.48256,6.53809,3.71065,3.06808,0.0004918,0.0004918,0.0004918
79,71.6605,1.00167,2.14455,1.59028,1.24693,0.52701,0.10409,0.0735,0.01782,0.48444,0.07407,0.04035,0.00628,2.48256,6.53809,3.71065,3.06808,0.0004852,0.0004852,0.0004852
80,72.5819,1.05435,1.83947,1.77979,1.38752,0.49869,0.07407,0.07478,0.02864,0.41299,0.03704,0.01665,0.00485,2.52298,6.73152,3.55002,3.02184,0.0004786,0.0004786,0.0004786
81,73.5126,1.22351,2.2412,1.73266,1.46374,0.49869,0.07407,0.07478,0.02864,0.41299,0.03704,0.01665,0.00485,2.52298,6.73152,3.55002,3.02184,0.000472,0.000472,0.000472
82,74.4862,1.38395,2.50259,1.95426,1.5349,0.14644,0.07407,0.08048,0.03155,0.07092,0.03704,0.01168,0.0047,2.50787,6.93025,3.50258,2.98624,0.0004654,0.0004654,0.0004654
83,75.3522,1.07476,2.09895,1.46114,1.3216,0.14644,0.07407,0.08048,0.03155,0.07092,0.03704,0.01168,0.0047,2.50787,6.93025,3.50258,2.98624,0.0004588,0.0004588,0.0004588
84,76.2516,1.06622,2.31639,1.76493,1.2998,0.15281,0.07407,0.08658,0.03396,0.07242,0.03704,0.01104,0.00465,2.58405,6.89767,3.54847,3.12796,0.0004522,0.0004522,0.0004522
85,77.1293,1.12724,2.08943,1.72467,1.35334,0.15281,0.07407,0.08658,0.03396,0.07242,0.03704,0.01104,0.00465,2.58405,6.89767,3.54847,3.12796,0.0004456,0.0004456,0.0004456
86,78.3573,1.18823,2.09353,1.705,1.43439,0.45571,0.03704,0.07238,0.03151,0.45986,0.03704,0.05822,0.00947,2.64733,6.81817,3.57469,3.30667,0.000439,0.000439,0.000439
87,79.2523,1.13034,1.98747,1.79719,1.45398,0.45571,0.03704,0.07238,0.03151,0.45986,0.03704,0.05822,0.00947,2.64733,6.81817,3.57469,3.30667,0.0004324,0.0004324,0.0004324
88,80.2136,1.17617,2.11432,1.56138,1.39106,0.53718,0.06182,0.07181,0.03153,0.53718,0.06182,0.06386,0.01055,2.61735,6.77555,3.60165,3.38429,0.0004258,0.0004258,0.0004258
89,81.1121,1.09271,2.00722,1.7641,1.3779,0.53718,0.06182,0.07181,0.03153,0.53718,0.06182,0.06386,0.01055,2.61735,6.77555,3.60165,3.38429,0.0004192,0.0004192,0.0004192
90,82.0396,1.09965,2.36569,2.27088,1.47568,0.5554,0.07407,0.06053,0.02481,0.5554,0.07407,0.052,0.01071,2.67306,6.75872,3.55736,3.25299,0.0004126,0.0004126,0.0004126
